vnnum: 45
vtnum: 30
                    ID      ;       [       NUM     ]       int     void    IDF     (       )       ,       {       }       if      else    while   return  =       ID1     <=      <       >       >=      ==      !=      +       -       *       /       #       
S                   0       0       0       0       0       1       1       0       0       0       0       1       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
program             0       0       0       0       0       2       2       0       0       0       0       2       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
declaration-list    0       0       0       0       0       3       3       0       0       0       0       3       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
declaration-list'   0       0       0       0       0       4       4       0       0       0       0       4       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       5       
declaration         0       0       0       0       0       7       7       0       0       0       0       7       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
var-declaration     0       0       0       0       0       8       8       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
var-declaration'    0       9       10      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
type-specifier      0       0       0       0       0       11      12      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
fun-declaration     0       0       0       0       0       13      13      0       0       0       0       14      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
params              0       0       0       0       0       15      16      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
params-list         0       0       0       0       0       17      17      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
params-list'        0       0       0       0       0       0       0       0       0       19      18      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
param               0       0       0       0       0       20      20      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
param'              0       0       22      0       0       0       0       0       0       21      21      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
compound-stmt       0       0       0       0       0       0       0       0       0       0       0       23      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
local-declarations  24      24      0       24      0       25      25      24      24      0       0       24      24      24      0       24      24      0       24      0       0       0       0       0       0       0       0       0       0       0       
local-declarations' 27      27      0       27      0       26      26      27      27      0       0       27      27      27      0       27      27      0       27      0       0       0       0       0       0       0       0       0       0       0       
statement-list      29      29      0       29      0       0       0       29      29      0       0       29      28      29      0       29      29      0       29      0       0       0       0       0       0       0       0       0       0       0       
statement-list'     30      30      0       30      0       0       0       30      30      0       0       30      31      30      0       30      30      0       30      0       0       0       0       0       0       0       0       0       0       0       
statement           32      32      0       32      0       0       0       32      32      0       0       33      0       34      0       35      36      0       32      0       0       0       0       0       0       0       0       0       0       0       
expression-stmt     37      38      0       37      0       0       0       37      37      0       0       0       0       0       0       0       0       0       37      0       0       0       0       0       0       0       0       0       0       0       
selection-stmt      0       0       0       0       0       0       0       0       0       0       0       0       0       39      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
selection-stmt'     40      40      0       40      0       0       0       40      40      0       0       40      40      40      41      40      40      0       40      0       0       0       0       0       0       0       0       0       0       0       
iteration-stmt      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       42      0       0       0       0       0       0       0       0       0       0       0       0       0       0       
return-stmt         0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       43      0       0       0       0       0       0       0       0       0       0       0       0       0       
return-stmt'        45      44      0       45      0       0       0       45      45      0       0       0       0       0       0       0       0       0       45      0       0       0       0       0       0       0       0       0       0       0       
expression          47      0       0       47      0       0       0       47      47      0       0       0       0       0       0       0       0       0       46      0       0       0       0       0       0       0       0       0       0       0       
var                 48      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       
